,datestr,city,state,shape,duration_description,start_dt,duration_secs,end_dt,location_name,lon,lat
85,3/8/17 16:54,Ypsilanti,MI,circle,1 hour,2017-03-08 16:54:00,3600.0,2017-03-08 17:54:00,MI Ypsilanti,-83.6129939,42.2411499
86,3/8/17 02:00,Phoenix,AZ,unknown,10 minutes,2017-03-08 02:00:00,600.0,2017-03-08 02:10:00,AZ Phoenix,-112.0740373,33.4483771
87,3/8/17 00:30,Gray Court,SC,light,15 minutes,2017-03-08 00:30:00,900.0,2017-03-08 00:45:00,SC Gray Court,-82.113438,34.6081774
88,3/8/17 00:30,Gray Court,SC,light,15 minutes,2017-03-08 00:30:00,900.0,2017-03-08 00:45:00,SC Gray Court,-82.113438,34.6081774
89,3/7/17 23:00,Princeton,IN,light,3 hours+,2017-03-07 23:00:00,10800.0,2017-03-08 02:00:00,IN Princeton,-87.5675222,38.3553236
90,3/7/17 21:20,Philadelphia,PA,chevron,>1 minute,2017-03-07 21:20:00,60.0,2017-03-07 21:21:00,PA Philadelphia,-75.1652215,39.9525839
91,3/7/17 20:30,San Angelo,TX,triangle,30-40 seconds,2017-03-07 20:30:00,40.0,2017-03-07 20:30:40,TX San Angelo,-100.4370375,31.4637723
92,3/7/17 20:10,Summerville,SC,sphere,15-20 seconds,2017-03-07 20:10:00,20.0,2017-03-07 20:10:20,SC Summerville,-80.1756481,33.0185039
93,3/7/17 20:00,Lexington,KY,oval,2 minutes,2017-03-07 20:00:00,120.0,2017-03-07 20:02:00,KY Lexington,-84.5037164,38.0405837
94,3/7/17 19:00,Fort Worth,TX,light,40 minutes,2017-03-07 19:00:00,2400.0,2017-03-07 19:40:00,TX Fort Worth,-97.3307658,32.7554883
96,3/7/17 12:00,Jamestown,CA,fireball,4 hours,2017-03-07 12:00:00,14400.0,2017-03-07 16:00:00,CA Jamestown,-120.4226952,37.9532584
97,3/6/17 22:00,Elkton,MD,rectangle,2 minutes,2017-03-06 22:00:00,120.0,2017-03-06 22:02:00,MD Elkton,-75.8332718,39.6067789
99,3/6/17 21:48,Meridian,MS,diamond,10 seconds,2017-03-06 21:48:00,10.0,2017-03-06 21:48:10,MS Meridian,-88.703656,32.3643098
100,3/6/17 19:58,Modesto,CA,circle,6 minutes,2017-03-06 19:58:00,360.0,2017-03-06 20:04:00,CA Modesto,-120.9968782,37.6390972
102,3/6/17 19:11,Ft. Lauderdale,FL,circle,10 seconds,2017-03-06 19:11:00,10.0,2017-03-06 19:11:10,FL Ft. Lauderdale,-80.1373174,26.1224386
103,3/6/17 18:45,Walker,LA,triangle,2-3 minutes,2017-03-06 18:45:00,180.0,2017-03-06 18:48:00,LA Walker,-90.8614878,30.4879678
104,3/6/17 12:15,Lisbon,ME,fireball,20 second,2017-03-06 12:15:00,20.0,2017-03-06 12:15:20,ME Lisbon,-70.1043704,44.0316013
105,3/6/17 04:15,Milford,CT,disk,1 hour,2017-03-06 04:15:00,3600.0,2017-03-06 05:15:00,CT Milford,-73.064036,41.2306979
107,3/5/17 22:28,Brookline,NH,light,10 minutes,2017-03-05 22:28:00,600.0,2017-03-05 22:38:00,NH Brookline,-71.6581267,42.7348102
108,3/5/17 20:29,Anchorage,AK,circle,30 minutes,2017-03-05 20:29:00,1800.0,2017-03-05 20:59:00,AK Anchorage,-149.9002778,61.2180556
109,3/5/17 20:00,Holbrook,NY,teardrop,5 minutes,2017-03-05 20:00:00,300.0,2017-03-05 20:05:00,NY Holbrook,-73.0784429,40.8123205
110,3/5/17 14:00,Anola (Canada),MB,sphere,1-2 minutes,2017-03-05 14:00:00,120.0,2017-03-05 14:02:00,MB Anola (Canada),-96.6233317,49.8811655
111,3/5/17 13:30,Honeybrook,PA,circle,1 minute,2017-03-05 13:30:00,60.0,2017-03-05 13:31:00,PA Honeybrook,-75.9113306,40.0942664
113,3/5/17 03:04,Upper Freehold Township,NJ,other,10 minutes,2017-03-05 03:04:00,600.0,2017-03-05 03:14:00,NJ Upper Freehold Township,-74.5228916,40.174405
114,3/4/17 23:00,Pittsburgh,PA,light,2-3 minutes,2017-03-04 23:00:00,180.0,2017-03-04 23:03:00,PA Pittsburgh,-79.9958864,40.4406248
116,3/4/17 21:48,Sioux Falls,SD,sphere,5 seconds,2017-03-04 21:48:00,5.0,2017-03-04 21:48:05,SD Sioux Falls,-96.7311034,43.5445959
117,3/4/17 21:00,Absarokee,MT,other,1 hour,2017-03-04 21:00:00,3600.0,2017-03-04 22:00:00,MT Absarokee,-109.4429444,45.5204982
118,3/4/17 20:30,Amelia Island,FL,triangle,8 seconds,2017-03-04 20:30:00,8.0,2017-03-04 20:30:08,FL Amelia Island,-81.460856,30.6265697
120,3/4/17 20:10,Donaldsonville,GA,light,2:00 minutes,2017-03-04 20:10:00,0.0,2017-03-04 20:10:00,GA Donaldsonville,-84.8790911,31.0404625
121,3/4/17 19:40,Lynchburg,VA,diamond,"45 minutes, I went in",2017-03-04 19:40:00,2700.0,2017-03-04 20:25:00,VA Lynchburg,-79.1422464,37.4137536
123,3/4/17 19:00,Kaukauna,WI,light,45 minutes,2017-03-04 19:00:00,2700.0,2017-03-04 19:45:00,WI Kaukauna,-88.2720503,44.2780432
124,3/4/17 18:42,Lynchburg,VA,fireball,3 minutes,2017-03-04 18:42:00,180.0,2017-03-04 18:45:00,VA Lynchburg,-79.1422464,37.4137536
126,3/4/17 15:30,Kitchener (Canada),ON,light,30-60 seconds,2017-03-04 15:30:00,60.0,2017-03-04 15:31:00,ON Kitchener (Canada),-80.4831917,43.450301
127,3/4/17 15:00,Cleveland,OH,cylinder,10 minutes,2017-03-04 15:00:00,600.0,2017-03-04 15:10:00,OH Cleveland,-81.6943605,41.49932
129,3/4/17 04:00,Soldotna,AK,unknown,1-2 minutes,2017-03-04 04:00:00,120.0,2017-03-04 04:02:00,AK Soldotna,-151.0583332,60.4877778
130,3/4/17 01:00,Englewood,CO,disk,3-5 seconds,2017-03-04 01:00:00,5.0,2017-03-04 01:00:05,CO Englewood,-104.9877597,39.6477653
131,3/3/17 21:38,Fairbanks,AK,sphere,1-2 minutes,2017-03-03 21:38:00,120.0,2017-03-03 21:40:00,AK Fairbanks,-147.7163889,64.8377778
132,3/3/17 21:00,Temecula,CA,triangle,20 seconds,2017-03-03 21:00:00,20.0,2017-03-03 21:00:20,CA Temecula,-117.1483648,33.4936391
135,3/3/17 19:36,Yuma,AZ,oval,1.5 minutes,2017-03-03 19:36:00,300.0,2017-03-03 19:41:00,AZ Yuma,-114.6276916,32.6926512
136,3/3/17 19:30,Longmont,CO,light,>1 hour,2017-03-03 19:30:00,3600.0,2017-03-03 20:30:00,CO Longmont,-105.1019275,40.1672068
137,3/3/17 19:25,Wilmington,DE,fireball,30 seconds,2017-03-03 19:25:00,30.0,2017-03-03 19:25:30,DE Wilmington,-75.5397878,39.7390721
138,3/3/17 19:05,Ridgecrest,CA,unknown,45 seconds,2017-03-03 19:05:00,45.0,2017-03-03 19:05:45,CA Ridgecrest,-117.6708966,35.6224561
139,3/3/17 19:05,Ridgecrest,CA,unknown,45 seconds,2017-03-03 19:05:00,45.0,2017-03-03 19:05:45,CA Ridgecrest,-117.6708966,35.6224561
140,3/3/17 17:30,Wetumpka,AL,sphere,5 seconds,2017-03-03 17:30:00,5.0,2017-03-03 17:30:05,AL Wetumpka,-86.2119127,32.5437448
142,3/3/17 06:10,Index,WA,formation,1 minute,2017-03-03 06:10:00,60.0,2017-03-03 06:11:00,WA Index,-121.5551086,47.8206605
143,3/3/17 00:00,Fort Myers,FL,light,1-2 hours,2017-03-03 00:00:00,7200.0,2017-03-03 02:00:00,FL Fort Myers,-81.8723084,26.640628
144,3/2/17 22:30,Lake Conroe,TX,light,3 hours,2017-03-02 22:30:00,10800.0,2017-03-03 01:30:00,TX Lake Conroe,-95.5984925,30.4368954
145,3/2/17 22:00,Waco,TX,triangle,2-3 minutes,2017-03-02 22:00:00,180.0,2017-03-02 22:03:00,TX Waco,-97.1466695,31.549333
147,3/2/17 20:00,Springfield,MO,triangle,1 minute,2017-03-02 20:00:00,60.0,2017-03-02 20:01:00,MO Springfield,-93.2922989,37.2089572
149,3/2/17 05:00,Fayetteville,TN,triangle,20 seconds,2017-03-02 05:00:00,20.0,2017-03-02 05:00:20,TN Fayetteville,-86.5705508,35.1520266
150,3/1/17 20:21,Cloquet,MN,triangle,30 seconds,2017-03-01 20:21:00,30.0,2017-03-01 20:21:30,MN Cloquet,-92.4611825,46.7217735
152,3/1/17 20:00,Dodge City,KS,circle,10 hours,2017-03-01 20:00:00,36000.0,2017-03-02 06:00:00,KS Dodge City,-100.0170787,37.7527982
155,3/1/17 18:30,Ingram,TX,flash,5 seconds,2017-03-01 18:30:00,5.0,2017-03-01 18:30:05,TX Ingram,-99.2403213,30.0774307
156,3/1/17 13:35,Islip Terrace,NY,rectangle,4 hours,2017-03-01 13:35:00,14400.0,2017-03-01 17:35:00,NY Islip Terrace,-73.1881781,40.7494306
157,2/28/17 19:45,Phoenix,AZ,fireball,3 minutes,2017-02-28 19:45:00,180.0,2017-02-28 19:48:00,AZ Phoenix,-112.0740373,33.4483771
158,2/28/17 18:57,Atascocta,TX,unknown,4 second,2017-02-28 18:57:00,4.0,2017-02-28 18:57:04,TX Atascocta,-95.1765978,29.9988306
160,2/28/17 12:00,Jamestown,CA,fireball,4 hours,2017-02-28 12:00:00,14400.0,2017-02-28 16:00:00,CA Jamestown,-120.4226952,37.9532584
161,2/28/17 04:50,Vacaville,CA,sphere,2-3 seconds,2017-02-28 04:50:00,3.0,2017-02-28 04:50:03,CA Vacaville,-121.9877444,38.3565773
163,2/27/17 19:30,Fountain,CO,cross,1 hour,2017-02-27 19:30:00,3600.0,2017-02-27 20:30:00,CO Fountain,-104.7008056,38.682219
164,2/27/17 19:30,Billings,MT,light,5 minutes,2017-02-27 19:30:00,300.0,2017-02-27 19:35:00,MT Billings,-108.5006904,45.7832856
165,2/27/17 19:00,Plains,KS,light,1 hour +-,2017-02-27 19:00:00,3600.0,2017-02-27 20:00:00,KS Plains,-100.5926524,37.2602994
166,2/27/17 18:40,Crescent Valley,NV,unknown,5 minutes,2017-02-27 18:40:00,300.0,2017-02-27 18:45:00,NV Crescent Valley,-116.5764745,40.4160278
167,2/27/17 18:11,Folsom,CA,sphere,30-60 seconds,2017-02-27 18:11:00,60.0,2017-02-27 18:12:00,CA Folsom,-121.1760583,38.6779591
168,2/27/17 01:30,Tuscaloosa,AL,unknown,~30 minutes,2017-02-27 01:30:00,1800.0,2017-02-27 02:00:00,AL Tuscaloosa,-87.5691735,33.2098407
170,2/26/17 23:00,Tuscaloosa,AL,light,1 minutes,2017-02-26 23:00:00,60.0,2017-02-26 23:01:00,AL Tuscaloosa,-87.5691735,33.2098407
171,2/26/17 22:51,Wasilla,AK,oval,2-3 minutes,2017-02-26 22:51:00,180.0,2017-02-26 22:54:00,AK Wasilla,-149.4394444,61.5813889
172,2/26/17 22:00,Decatur,GA,circle,5 minutes,2017-02-26 22:00:00,300.0,2017-02-26 22:05:00,GA Decatur,-84.2963123,33.7748275
173,2/26/17 21:15,Manistee,MI,unknown,20 minutes,2017-02-26 21:15:00,1200.0,2017-02-26 21:35:00,MI Manistee,-86.324253,44.2444473
175,2/26/17 21:00,Decatur,GA,circle,3 minutes,2017-02-26 21:00:00,180.0,2017-02-26 21:03:00,GA Decatur,-84.2963123,33.7748275
177,2/26/17 20:30,Easton,PA,fireball,10 seconds,2017-02-26 20:30:00,10.0,2017-02-26 20:30:10,PA Easton,-75.2207323,40.688432
179,2/26/17 20:25,Lutz,FL,circle,20 minutes,2017-02-26 20:25:00,1200.0,2017-02-26 20:45:00,FL Lutz,-82.4614831,28.1511243
180,2/26/17 20:23,Prescott,AZ,light,30 seconds,2017-02-26 20:23:00,30.0,2017-02-26 20:23:30,AZ Prescott,-112.4685025,34.5400242
181,2/26/17 20:06,Cody,WY,fireball,4 seconds,2017-02-26 20:06:00,4.0,2017-02-26 20:06:04,WY Cody,-109.0565308,44.5263422
182,2/26/17 20:00,Sacramento,CA,other,45 minutes,2017-02-26 20:00:00,2700.0,2017-02-26 20:45:00,CA Sacramento,-121.4943996,38.5815719
183,2/26/17 19:00,Newark,DE,oval,1-2 mins,2017-02-26 19:00:00,120.0,2017-02-26 19:02:00,DE Newark,-75.7496572,39.6837226
184,2/26/17 18:00,Dubuque,IA,triangle,Nightly-2 hours,2017-02-26 18:00:00,7200.0,2017-02-26 20:00:00,IA Dubuque,-90.6645718,42.5005583
