start,end,lon,lat,shape
2015-03-06 02:21:00,2015-03-06 02:21:30,-90.0701156,29.9499323,light
2015-03-06 00:00:00,2015-03-06 00:15:00,-72.3289715,41.3159315,other
2015-03-05 21:00:00,2015-03-05 21:15:00,-122.1585777,38.049365,formation
2015-03-05 21:00:00,2015-03-05 21:02:00,-3.1711111,52.9694033,chevron
2015-03-05 20:30:00,2015-03-05 20:30:10,-90.1842764,38.8906038,fireball
2015-03-05 20:30:00,2015-03-05 20:35:00,-122.955641,46.1427302,light
2015-03-05 19:45:00,2015-03-05 19:50:00,-122.3438255,47.7563195,unknown
2015-03-05 19:30:00,2015-03-05 19:35:00,121.75,16,circle
2015-03-05 19:30:00,2015-03-05 19:30:05,-74.0760867,4.5980478,circle
2015-03-05 19:00:00,2015-03-05 21:00:00,-75.7517285,45.2731133,changing
2015-03-05 18:34:00,2015-03-05 18:34:45,-95.9929113,36.1556805,cylinder
2015-03-05 13:00:00,2015-03-05 13:01:30,-117.249959903289,34.075631,rectangle
2015-03-05 11:00:00,2015-03-05 11:45:00,-122.3300624,47.6038321,light
2015-03-05 08:00:00,2015-03-05 08:20:00,-116.6201357,43.7068282,circle
2015-03-05 06:30:00,2015-03-05 06:30:10,-86.1580447,39.7683795,flash
2015-03-05 04:14:00,2015-03-05 04:19:00,-92.8134982,45.0564041,triangle
2015-03-05 04:14:00,2015-03-05 04:19:00,-92.8134982,45.0564041,triangle
2015-03-04 21:00:00,2015-03-04 21:04:00,-149.9002806,61.218056,fireball
2015-03-04 20:00:00,2015-03-04 20:20:00,-97.841152,39.3566689,oval
2015-03-04 19:30:00,2015-03-04 19:30:10,-113.449913,32.8244925,fireball
2015-03-04 19:00:00,2015-03-04 19:03:00,-87.9556401083333,42.1675825,triangle
2015-03-04 19:00:00,2015-03-04 19:00:45,-82.3779268,38.1678662,rectangle
2015-03-04 17:15:00,2015-03-04 17:18:00,-92.4343035,31.3224044,light
2015-03-04 14:00:00,2015-03-04 14:05:00,-118.1884871,33.7774658,rectangle
2015-03-03 23:00:00,2015-03-03 23:01:00,-81.7521984811927,28.5395705,light
2015-03-03 21:15:00,2015-03-03 21:15:10,-82.6392899,30.1896756,diamond
2015-03-03 20:37:00,2015-03-03 20:39:00,-80.0664309,26.5253491,triangle
2015-03-03 19:30:00,2015-03-03 19:40:00,-122.6527973,47.5665391,circle
2015-03-03 19:00:00,2015-03-03 19:06:00,-111.3585684,56.6955793,disk
2015-03-03 18:00:00,2015-03-03 18:03:00,-81.4928829,36.4037364,light
2015-03-03 06:10:00,2015-03-03 06:15:00,-114.1915824,48.3697168,circle
2015-03-02 23:15:00,2015-03-02 23:25:00,-123.1059324,44.6365071,other
2015-03-02 23:00:00,2015-03-03 00:00:00,-117.2425355,33.2000368,flash
2015-03-02 21:00:00,2015-03-02 21:15:00,-81.5320773,39.1904082,chevron
2015-03-02 20:30:00,2015-03-02 20:30:08,-112.0729432,33.4064556,other
2015-03-02 19:15:00,2015-03-02 19:20:00,-87.8212263,42.5846773,changing
2015-03-02 18:43:00,2015-03-02 18:43:30,-80.1527861868645,25.928842,unknown
2015-03-02 18:00:00,2015-03-02 18:05:00,-83.0007065,39.9622601,formation
2015-03-01 23:00:00,2015-03-01 23:03:00,-81.4078013,28.2920249,fireball
2015-03-01 22:55:00,2015-03-01 22:55:10,-80.1936589,25.7742658,circle
2015-03-01 22:14:00,2015-03-01 22:16:00,-81.3790462,28.5421175,fireball
2015-03-01 22:00:00,2015-03-01 22:02:00,-80.3288857410087,26.1482449,unknown
2015-03-01 21:44:00,2015-03-01 21:44:02,-88.6867538,41.9889173,fireball
2015-03-01 20:00:00,2015-03-01 20:10:00,-106.6509851,35.0841034,unknown
2015-03-01 19:06:00,2015-03-01 19:06:10,-120.0081898,46.3246419,flash
2015-03-01 10:45:00,2015-03-01 10:50:00,-80.3975399,27.6387163,fireball
2015-03-01 09:42:00,2015-03-01 09:42:00,-119.7737991,37.1716264,oval
